,N_res,passed,sum_chi2,sum_NLLW,sum_AICc,sum_BICc
0,42,True,1346.012,126.2764538321988,2245.545689839572,3356.359278798752
1,41,True,1344.5249999999999,122.00607239743202,2205.190349256809,3282.6420621204707
2,40,True,1343.861,117.83406516128645,2167.28275066313,3212.0032847447515
3,39,True,1343.907,113.59494809462944,2131.597756302521,3144.1756700280994
4,38,True,1345.0639999999999,111.9161785002486,2098.434862975564,3079.420516006723
5,37,True,1346.63,109.46273136536365,2066.9999439252338,3016.908973802748
6,36,True,1348.8220000000001,103.89896733888645,2037.4261666666669,2956.7425666447525
7,35,True,1348.758,100.6156412141008,2006.7550586175503,2895.933911024049
8,34,True,1352.172,97.81676243403396,1980.650697421981,2840.120608393167
9,33,True,1355.15,93.77538719561603,1955.1350069047148,2785.3002813417024
10,32,True,1357.9950000000001,90.8174475259858,1930.4521428571427,2731.6947326475683
11,31,True,1361.703,87.61228682283135,1907.5439555046723,2680.2252092223935
12,30,True,1365.493,84.35787526992165,1885.5795176640231,2630.04175592124
13,29,True,1371.431,80.0859901196728,1866.5787093667932,2583.146646603841
14,28,True,1378.936,77.23040692147413,1849.9178511796736,2538.8998818224404
15,27,True,1384.3429999999998,76.32968367804938,1831.8923796526055,2493.581744153296
16,26,True,1391.712,73.01337542818125,1816.5255593220336,2451.201403550451
17,25,True,1401.112,70.06336713961892,1803.8522265253928,2411.7805662338606
18,24,True,1410.9850000000001,65.66593524603577,1792.2825609756096,2373.7171615710045
19,23,True,1428.8029999999999,62.22070354959276,1789.2588816251794,2344.4420622052075
20,22,True,1449.4499999999998,59.360323026223256,1789.6374638379943,2318.8008333520656
21,21,True,1473.279,56.9669857118801,1793.7453752995912,2297.1105077493567
22,20,True,1456.83,54.39289868985243,1758.098328445748,2235.8773832234374
23,19,True,1460.513,52.0569107214197,1743.0835474860335,2195.479840240831
24,18,True,1464.821,46.250349625220984,1729.1726483516481,2156.3811771592964
25,17,True,1469.086,49.938822287717095,1715.67753011279,2117.885461187955
26,16,True,1473.8670000000002,45.49264058101613,1703.1382765957449,2080.5253933189906
27,15,True,1480.411,43.537148523360315,1692.7840670887617,2045.5231857107053
28,14,True,1487.391,41.33915890973956,1683.2710951625693,2011.528450188825
29,13,True,1502.339,36.741694303964465,1682.1154947494865,1986.0510966944635
30,12,False,1530.435,34.05064565214728,1694.4822727272729,1974.2502406469384
31,11,False,1561.042,33.18425683098249,1709.720247342494,1965.4691183108691
32,10,False,1995.549,35.417164432589324,2129.204991885234,2361.0780093623925
33,9,False,2788.23,38.5344773175986,2907.1977830940987,3115.333165941157
34,8,False,3815.21,29.14777254423243,3919.811553829079,4104.342747554918
35,7,False,6937.3099999999995,30.08962441556468,7027.8558496010855,7188.911761273739
36,6,False,7341.54,26.55068779592728,7418.329788591942,7556.035006712243
37,5,False,8561.720000000001,29.837250651213434,8625.043024838049,8739.518025352396
38,4,False,11004.25,34.3062764071673,11054.385714285714,11145.747053806856
39,3,False,15312.83,16.14328350113338,15350.048483456743,15418.408980664752
40,2,False,35462.8,16.146784311989176,35487.362400489896,35532.83130659887
41,1,False,74726.4,0.0,74738.55894834778,74761.24210744584
