
Section: Summary   Original data
Tabulated Data:   pendf.json   endf.json
Points: 411
Energy (eV)	 
Min
1e-05	Max
2e+07	
From
1e-05
To
2e+07
Get data:
Calculation of Cross Section
for a Single Energy:
Energy (eV) = 
1e-05
Cross Section (b) = 
#LIBRARY    ENDF/B-VIII.0
#REACTION   LI-6(N,T)HE-4,SIG
#NUCLEUS    Li-6
#MF         3
#MT         105
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       47181.6      Lin-Lin
 1.10304E-05 44923.9      Lin-Lin
 1.21669E-05 42774.2      Lin-Lin
 1.34206E-05 40727.4      Lin-Lin
 1.48034E-05 38778.6      Lin-Lin
 1.63286E-05 36923        Lin-Lin
 1.80111E-05 35156.2      Lin-Lin
 1.98669E-05 33474        Lin-Lin
 2.19139E-05 31872.2      Lin-Lin
 2.41719E-05 30347.1      Lin-Lin
 2.66625E-05 28895        Lin-Lin
 2.94097E-05 27512.3      Lin-Lin
 3.244E-05   26195.8      Lin-Lin
 3.57825E-05 24942.3      Lin-Lin
 3.94694E-05 23748.8      Lin-Lin
 4.35362E-05 22612.4      Lin-Lin
 4.80221E-05 21530.4      Lin-Lin
 5.29701E-05 20500.1      Lin-Lin
 5.8428E-05  19519.2      Lin-Lin
 6.44482E-05 18585.2      Lin-Lin
 7.10888E-05 17695.9      Lin-Lin
 7.84136E-05 16849.1      Lin-Lin
 8.64931E-05 16042.9      Lin-Lin
 9.54051E-05 15275.2      Lin-Lin
 0.000105235 14544.3      Lin-Lin
 0.000116078 13848.3      Lin-Lin
 0.000128039 13185.6      Lin-Lin
 0.000141232 12554.7      Lin-Lin
 0.000155784 11953.9      Lin-Lin
 0.000171835 11381.9      Lin-Lin
 0.00018954  10837.3      Lin-Lin
 0.00020907  10318.7      Lin-Lin
 0.000230612 9824.97      Lin-Lin
 0.000254374 9354.84      Lin-Lin
 0.000280584 8907.2       Lin-Lin
 0.000309494 8480.98      Lin-Lin
 0.000341383 8075.16      Lin-Lin
 0.000376558 7688.75      Lin-Lin
 0.000415358 7320.84      Lin-Lin
 0.000458155 6970.53      Lin-Lin
 0.000505362 6636.99      Lin-Lin
 0.000557433 6319.4       Lin-Lin
 0.000614869 6017.01      Lin-Lin
 0.000678223 5729.09      Lin-Lin
 0.000748105 5454.95      Lin-Lin
 0.000825188 5193.92      Lin-Lin
 0.000910213 4945.39      Lin-Lin
 0.001004    4708.75      Lin-Lin
 0.00110745  4483.43      Lin-Lin
 0.00122155  4268.89      Lin-Lin
 0.00134742  4064.62      Lin-Lin
 0.00148625  3870.13      Lin-Lin
 0.00163939  3684.94      Lin-Lin
 0.00180831  3508.61      Lin-Lin
 0.00199463  3340.72      Lin-Lin
 0.00220016  3180.86      Lin-Lin
 0.00242685  3028.65      Lin-Lin
 0.00267691  2883.73      Lin-Lin
 0.00295273  2745.74      Lin-Lin
 0.00325697  2614.35      Lin-Lin
 0.00359256  2489.25      Lin-Lin
