
Section: Summary   Original data
Tabulated Data:   pendf.json   endf.json
Points: 799
Energy (eV)	 
Min
1e-05	Max
2e+07	
From
1e-05
To
2e+07
Get data:
Calculation of Cross Section
for a Single Energy:
Energy (eV) = 
1e-05
Cross Section (b) = 
#LIBRARY    ENDF/B-VIII.0
#REACTION   LI-6(N,TOT),SIG
#NUCLEUS    Li-6
#MF         3
#MT         1
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       47200.2      Lin-Lin
 1.10304E-05 44941.6      Lin-Lin
 1.21669E-05 42791.1      Lin-Lin
 1.34206E-05 40743.5      Lin-Lin
 1.48034E-05 38793.9      Lin-Lin
 1.63286E-05 36937.6      Lin-Lin
 1.80111E-05 35170.1      Lin-Lin
 1.98669E-05 33487.2      Lin-Lin
 2.19139E-05 31884.8      Lin-Lin
 2.41719E-05 30359.1      Lin-Lin
 2.66625E-05 28906.4      Lin-Lin
 2.94097E-05 27523.2      Lin-Lin
 3.244E-05   26206.2      Lin-Lin
 3.57825E-05 24952.2      Lin-Lin
 3.94694E-05 23758.2      Lin-Lin
 4.35362E-05 22621.3      Lin-Lin
 4.80221E-05 21538.9      Lin-Lin
 5.29701E-05 20508.2      Lin-Lin
 5.8428E-05  19526.9      Lin-Lin
 6.44482E-05 18592.5      Lin-Lin
 7.10888E-05 17702.9      Lin-Lin
 7.84136E-05 16855.8      Lin-Lin
 8.64931E-05 16049.2      Lin-Lin
 9.54051E-05 15281.2      Lin-Lin
 0.000105235 14550        Lin-Lin
 0.000116078 13853.8      Lin-Lin
 0.000128039 13190.9      Lin-Lin
 0.000141232 12559.7      Lin-Lin
 0.000155784 11958.7      Lin-Lin
 0.000171835 11386.5      Lin-Lin
 0.00018954  10841.6      Lin-Lin
 0.00020907  10322.9      Lin-Lin
 0.000230612 9828.9       Lin-Lin
 0.000254374 9358.59      Lin-Lin
 0.000280584 8910.78      Lin-Lin
 0.000309494 8484.39      Lin-Lin
 0.000341383 8078.42      Lin-Lin
 0.000343792 8051.94      Lin-Lin
 0.000376558 7691.86      Lin-Lin
 0.000381871 7641.47      Lin-Lin
 0.000415358 7323.81      Lin-Lin
 0.000424189 7251.49      Lin-Lin
 0.000458155 6973.37      Lin-Lin
 0.000471174 6881.34      Lin-Lin
 0.000505362 6639.69      Lin-Lin
 0.000523389 6529.7       Lin-Lin
 0.000557433 6321.99      Lin-Lin
 0.00058136  6195.96      Lin-Lin
 0.000614869 6019.48      Lin-Lin
 0.000645786 5878.92      Lin-Lin
 0.000678223 5731.46      Lin-Lin
 0.000717315 5578.04      Lin-Lin
 0.000748105 5457.21      Lin-Lin
 0.000796807 5292.23      Lin-Lin
 0.000825188 5196.09      Lin-Lin
 0.000885063 5021         Lin-Lin
 0.000910213 4947.46      Lin-Lin
 0.000983144 4763.37      Lin-Lin
 0.001004    4710.73      Lin-Lin
 0.00109204  4518.9       Lin-Lin
 0.00110745  4485.33      Lin-Lin
